@relation protocol_detection
@attribute protocol-name {ssh,http,mysql,unknown}
@attribute src string
@attribute sport string
@attribute dst string
@attribute dport string
@attribute proto string
@attribute flags string
@attribute average_len numeric
@attribute pkt_count numeric
@attribute flow_average_inter_arrival_time numeric
@data
http,91.232.96.13,39105,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|FA|A,554,20,0.0205
http,89.22.96.128,33681,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|A|A|A|PA|A|A|PA|A|FA|FA|A,503,18,0.0041
ssh,188.64.44.161,54554,188.64.44.131,22,6,S|A|FA,54,3,0.0007
http,188.64.46.222,80,188.64.46.173,48853,6,SA|A|A|PA|FA|A,530,6,0.0011
http,91.232.96.16,48605,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|A|FA|A,569,19,0.0319
http,91.232.96.16,48252,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|A|A|A|FA|A,627,22,0.01
http,91.232.96.14,48876,89.22.96.128,80,6,S|SA|S|SA|A|PA|A|A|A|A|A|A|A|PA|A|FPA|A|A|FA|A,575,20,0.1181
http,66.249.78.36,55210,89.22.96.128,80,6,S|SA|A|PA|A|FA|A|A|A|A|FPA|R|R|R|R,362,15,0.0077
http,91.232.96.16,60716,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|FA|A,643,17,0.0113
http,91.232.96.13,53521,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|FA|A,563,20,0.0221
http,91.232.96.16,47293,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|A|A|FA|A,579,19,0.005
http,5.135.179.227,50914,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,516,17,0.0045
http,91.121.176.101,37279,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,516,17,0.0044
http,89.22.96.128,58339,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|PA|A|FA|A|FA|A,161,13,0.0029
http,91.232.96.13,44992,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|A|PA|FPA|A|A|A|A|A|A|A|FA|A,607,23,0.0103
http,91.232.96.16,38500,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|A|A|FPA|A|A|A|FA|A,552,17,0.0107
http,66.249.75.171,54659,89.22.96.128,80,6,S|SA|A|PA|A|PA|FA|A|FA|A,144,10,0.0045
http,89.22.96.128,36934,204.93.223.137,80,6,S|SA|A|PA|A|PA|A|A|A|A|PA|PA|A|A|A|A|PA|A|A|PA|A|FA|FA|A,491,24,0.0085
http,66.249.78.36,43713,89.22.96.128,80,6,S|SA|A|PA|A|A|A|A|A|PA|A|A|A|FA|FA|A,343,16,0.008
http,178.33.122.74,56671,89.22.96.128,80,6,S|SA|A|PA|A|A|A|PA|A|A|A|A|PA|FPA|A|A|A|A|FA|A,506,20,0.0094
